rank_unique,rank_unique_cleaned
山東鄉試第七十六名,七十六
第□四十四名,
陝西鄉試第□五名,
順天府鄉試第三□七名,
應天府鄉試第□十九名,
應天府鄉試第一百十九名,一百十九
福建鄉試第十五名,十五
第三百七十九名,三百七十九
第□八名,
廣東鄉試第二十八名,二十八
順天府鄉試第一百一十四名,一百一十四
四川鄉試第□十一名,
四川鄉試第七十□名,
河南鄉試第□十一名,
廣西鄉試第四十二名,四十二
應天府鄉試第□百十五名,
第□九十□名,
廣東鄉試第□四名,
第□百三十一名,
江西鄉試第□十一名,
山西鄉試第五十二名,五十二
湖廣鄉試第五十四名,五十四
雲貴鄉試第二十六名,二十六
應天府鄉試第一百□名,
應天府鄉試第一百九□名,
第□百五十四名,
會試第八□四名,
淅江鄉試第一名,一
雲貴鄉試第四十八名,四十八
山東鄉試第三十七名,三十七
順天府鄉試第一百三十四名,一百三十四
雲貴鄉試第一名,一
廣西鄉試第三十八名,三十八
陝西鄉試四十名,四十
陝西鄉試第五十九名,五十九
山東鄉試第三十五名,三十五
山西鄉試第三十二名,三十二
雲貴鄉試第十一名,十一
江西鄉試第四十四名,四十四
陝西鄉試第十九名,十九
福漸鄉試第五十二名,五十二
第三百六十五名,三百六十五
廣東鄉試第三十九名,三十九
第二百□十八名,
順天府鄉試第六十三名,六十三
湖廣鄉試第三十六名,三十六
雲貴鄉試第十八名,十八
河南鄉試第二十五名,二十五
四川鄉試第七十七名,七十七
□□鄉試第七十一名,七十一
應天府第七十一名,七十一
湖廣鄉試第五十三名,五十三
雲貴鄉試第四十六名,四十六
雲貴鄉試第三名,三
應天府鄉試十八名,十八
會試第四十名,四十
福建鄉試一名,一
浙江鄉試六十八名,六十八
會試第二名,二
福建鄉試九一十一名,九一十一
會試六十九名,六十九
會試六十八名,六十八
會試十五名,十五
江西鄉試三十六名,三十六
會試九十八名,九十八
應天府鄉試三十四名,三十四
會試第五名,五
應天府鄉試五十五名,五十五
會試三十四名,三十四
江西鄉試一百六十四名,一百六十四
會試十一名,十一
浙江鄉試二十二名,二十二
會試八十五名,八十五
會試九十七名,九十七
浙江鄉試八十四名,八十四
會試二 十四名,二十四
會試五十三名,五十三
浙江鄉試六十四名,六十四
會試二 十二名,二十二
應天府鄉試一百八十七名,一百八十七
會試三十名,三十
江西鄉試一百五十五名,一百五十五
會試八十六名,八十六
江西鄉試一百四十九名,一百四十九
會試四十五名,四十五
應天府鄉試四十四名,四十四
會試八十七名,八十七
會試二十七名,二十七
浙江鄉試四十名,四十
會試第三名,三
陝西鄉試十四名,十四
會試五十八名,五十八
福建鄉試五十二名,五十二
會試四十七名,四十七
江西鄉試三十四名,三十四
會試八十一名,八十一
應天府鄉試三十七名,三十七
會試七十四名,七十四
應天府鄉試六十六名,六十六
會試七十三名,七十三
江西鄉試三十九名,三十九
會試九十五名,九十五
江西鄉試四十一名,四十一
會試第九名,九
應天府鄉試二百九十五名,二百九十五
會試九十一名,九十一
應天府鄉試一百四十名,一百四十
會試二十名,二十
福建鄉試五十四名,五十四
會試二十八名,二十八
福建鄉試四十六名,四十六
應天府鄉試一百十一名,一百十一
會試七十八名,七十八
浙江鄉試一百十名,一百十
會試三十七名,三十七
湖廣鄉試八十五名,八十五
會試九十四名,九十四
會試十四名,十四
陝西鄉試一百十六名,一百十六
會試三十一名,三十一
浙江鄉試六十五名,六十五
會試八十四名,八十四
江西鄉試一百四十八名,一百四十八
會試七十一名,七十一
福建鄉試六十九名,六十九
會試三十六名,三十六
江西鄉試六十五名,六十五
會試七十六名,七十六
江西鄉試一百九名,一百九
會試九十六名,九十六
應天府鄉試七十五名,七十五
會試五十一名,五十一
會試九十九名,九十九
福建鄉試十三名,十三
會試六十一名,六十一
浙江鄉試十九名,十九
會試四十一名,四十一
會試第四名,四
會試六十三名,六十三
會試八十九名,八十九
江西鄉試八十□名,
會試三十五名,三十五
湖廣鄉試一百四十五名,一百四十五
江西鄉試五十名,五十
會試七十名,七十
河南鄉試五十一名,五十一
會試四十二名,四十二
四川鄉試三十三名,三十三
會試六十五名,六十五
會試十二名,十二
應天府鄉試四十一名,四十一
會試六十六名,六十六
應天府鄉試一百二十九名,一百二十九
會試七十二名,七十二
浙江鄉試八十名,八十
會試十九名,十九
江西鄉試五十三名,五十三
會試九十三名,九十三
會試五十名,五十
廣東鄉試一百二十名,一百二十
會試八十八名,八十八
山西鄉試六十三名,六十三
會試五十九名,五十九
浙江鄉試五十一名,五十一
會試二十六名,二十六
應天府鄉試二十四名,二十四
江西鄉試九十一名,九十一
會試八十名,八十
江西鄉試三十二名,三十二
會試三十九名,三十九
湖廣鄉試五十三名,五十三
會試四十三名,四十三
應天府鄉試四十三名,四十三
會試九十名,九十
應天府鄉試二十八名,二十八
會試六十二名,六十二
會試三十二名,三十二
河南鄉試四十八名,四十八
會試三十三名,三十三
會試第六名,六
浙江鄉試八十八名,八十八
會試十七名,十七
應天府鄉試九十二名,九十二
會試四十九名,四十九
江西鄉試一百五十六名,一百五十六
會試三十八名,三十八
浙江鄉試一十五名,一十五
會試七十五名,七十五
福建鄉試六十四名,六十四
會試九十二名,九十二
福建鄉試十七名,十七
陝西鄉試四十九名,四十九
江西鄉試六十六名,六十六
會試二十一名,二十一
山西鄉試九十五名,九十五
會試第十名,十
應天府鄉試六十五名,六十五
會試第八名,八
浙江鄉試一百五名,一百五
會試七十七名,七十七
江西鄉試十六名,十六
會試八十二名,八十二
應天府鄉試第二百七十六名,二百七十六
會試一百名,一百
應天府鄉試二百七十八名,二百七十八
會試五十六名,五十六
湖廣鄉試十七名,十七
會試六十四名,六十四
江西鄉試九十二名,九十二
會試八十三名,八十三
應天府鄉試九十一名,九十一
會試六十名,六十
會試十八名,十八
會試十六名,十六
應天府鄉試十七名,十七
會試五十四名,五十四
江西鄉試一百三十四名,一百三十四
會試五十五名,五十五
山西鄉試二十九名,二十九
會試二十五名,二十五
福建鄉試二十五名,二十五
會試五十二名,五十二
福建鄉試二十名,二十
會試二十三名,二十三
應天府鄉試六十九名,六十九
會試二十九名,二十九
四川鄉試一百二十二名,一百二十二
會試四十四名,四十四
福建鄉試七十三名,七十三
會試四十八名,四十八
湖廣鄉試一百三十七名,一百三十七
會試五十七名,五十七
福建鄉試七十七名,七十七
會試七十九名,七十九
江西鄉試八十六名,八十六
會試十三名,十三
陝西鄉試二十六名,二十六
會試六十七名,六十七
浙江鄉試二十七名,二十七
會試四十六名,四十六
應天府鄉試二百六十八名,二百六十八
會試第七名,七
雲貴鄉試第四十名,四十
廣東鄉試第二十五名,二十五
陝西鄉試第五十七名,五十七
第一百二十三 名,一百二十三
江西鄉試第一百七十八名,一百七十八
江西鄉試第一百二十七名,一百二十七
陝西鄉試第四十三名,四十三
江西鄉試第一百五十二名,一百五十二
湖廣鄉試第二十名,二十
應天府鄉試二十二名,二十二
雲貴鄉試第八名,八
廣西鄉試第二十名,二十
第五十四台,五十四
雲貴鄉試第二名,二
廣東鄉試第五十六名,五十六
山西鄉試第五十五名,五十五
陝西鄉試十八名,十八
雲貴鄉試第二十名,二十
河南鄉試第五十九名,五十九
雲貴鄉試第二十五名,二十五
雲貴鄉試第五十一名,五十一
湖廣鄉試第六十二名,六十二
雲貴鄉試第二十八名,二十八
湖廣鄉試第八十二名,八十二
廣東鄉試第三十名,三十
河南鄉試第八十名,八十
雲貴鄉試第十六名,十六
雲貴鄉試第四十五名,四十五
江西鄉試第一百四十六名,一百四十六
陜西鄉試第一名,一
順天府鄉試第九名　,九
何南鄉試第五十六名,五十六
雲貴鄉試第五十名,五十
貴州鄉試第五名,五
貴州鄉試第十五名,十五
湖廣鄉試第七十六名,七十六
雲貴鄉試第三十八名,三十八
河南鄉試第七十九名,七十九
陜西鄉試第五十六名,五十六
順天府鄉試第九十二名　,九十二
廣東鄉試第七十五名　,七十五
雲貴鄉試第三十一名,三十一
順天府鄉試第一百五名　,一百五
江西鄉試第二十四名　,二十四
廣西鄉試第二十名　,二十
廣西鄉試第二十五名,二十五
順天府鄉試第一百一十二名,一百一十二
廣東鄉試第六十三名,六十三
第十名　,十
貴州鄉試第十名,十
陝西鄉試第四十四名,四十四
雲南鄉試第三十四名,三十四
廣東鄉試第四十二名,四十二
應天府鄉試第一百一十七名,一百一十七
第二百九十□名,
貴州鄉試第三名,三
第二百□名,
江西鄉試第□十三名,
第二十□名,
廣西鄉試第二十八名,二十八
第二百□□名,
雲南鄉試第三十六名,三十六
第□□□□名,
第二百□十□名,
順天鄉試第六十九名,六十九
廣西鄉試第九名,九
順天鄉試第一百二十八名,一百二十八
廣東鄉試第四十五名,四十五
雲南鄉試第五十二名,五十二
貴州鄉試第六名,六
貴州鄉試第十二名,十二
順天鄉試第一百二十五名,一百二十五
雲南鄉試第二十八名,二十八
雲貴鄉試第二十一名,二十一
貴州鄉試第八名,八
雲南鄉試第二十五名,二十五
廣西鄉試第三十一名,三十一
陝西鄉試第五十六名,五十六
陜西鄉試第三名,三
順天府鄉試第八十八名　,八十八
順天府鄉試第一百二十九名　,一百二十九
雲南鄉試第三十三名,三十三
福建鄉試第五十八名　,五十八
順天府鄉試第四名　,四
江西鄉試第四十四名　,四十四
順天府鄉試第七十名　,七十
貴州鄉試第四名,四
陜西鄉試第二十八名,二十八
順天府鄉試第六十五名　,六十五
廣東鄉試第十九名　,十九
順天府鄉試第六十二名　,六十二
廣西鄉試第七名　,七
貴州鄉試第十八名,十八
第三百七十七名,三百七十七
第三百七十一名,三百七十一
第三百七十八名,三百七十八
第三百五十六名,三百五十六
第三百九十一名,三百九十一
貴州鄉試第一名,一
第三百六十六名,三百六十六
第三百八十三名,三百八十三
第三百六十八名,三百六十八
第三百九十名,三百九十
第三百五十二名,三百五十二
廣西鄉試第四十六名,四十六
第三百八十名,三百八十
第三百九十四名,三百九十四
第三百五十四名,三百五十四
第三百八十五名,三百八十五
湖廣鄉試第二十五名,二十五
應天府鄉試一百三十四名,一百三十四
第三百六十一名,三百六十一
第三百六十四名,三百六十四
第三百八十四名,三百八十四
第三百七十名,三百七十
第三百六十九名,三百六十九
第三百八十九名,三百八十九
第三百九十六名,三百九十六
貴州鄉試第二名,二
第三百九十三名,三百九十三
第三百七十二名,三百七十二
順天府鄉試第四十□名,
第三百五十五名,三百五十五
第三百九十五名,三百九十五
第三百八十六名,三百八十六
四川鄉試五十二名,五十二
第三百九十七名,三百九十七
第三百六十名,三百六十
第三百八十八名,三百八十八
第三百五十八名,三百五十八
山東鄉試第□十六名,
第三百八十二名,三百八十二
第三百七十四名,三百七十四
雲南鄉試第十一名,十一
第三百六十二名,三百六十二
第三百九十八名,三百九十八
第三百六十七名,三百六十七
第三百九十二名,三百九十二
第三百五十七名,三百五十七
第三百五十九名,三百五十九
第三百五十一名,三百五十一
第三百六十三名,三百六十三
第三百九十九名,三百九十九
第四百名,四百
第三百七十五名,三百七十五
第三百七十三名,三百七十三
會試第二百五十七名,二百五十七
□□府鄉試第四十名,四十
□□鄉試第五名,五
湖廣鄉試第八十七名,八十七
□□鄉試第八十二名,八十二
應天鄉試第六名,六
福建鄉試第一百一十二名,一百一十二
應天鄉試第三十七名,三十七
江西鄉試第一百九十名,一百九十
應天鄉試第十九名,十九
雲南鄉試第二十名,二十
應天鄉試第二十八名,二十八
江西鄉試第一百十二名,一百十二
北京行都鄉試第七十一名,七十一
北京行部鄉試第八十六名,八十六
河南鄉試第一百二十六名,一百二十六
應天鄉試第五十七名,五十七
應天鄉試第三十八名,三十八
四川鄉試第一百四十三名,一百四十三
北京行部鄉試第十名 ,十
江西鄉試第一百二十八名,一百二十八
山東鄉試第一百四十二名,一百四十二
山西鄉試第一百四十八名,一百四十八
廣西鄉試第三十三名,三十三
應天府鄉試第一百一十四名,一百一十四
廣西鄉試第四十四名,四十四
湖廣鄉第七名,七
 山東鄉試第一名,一
貴州鄉試第二十六名,二十六
廣西鄉試第五十五名,五十五
 山西鄉試第十九名,十九
第三百零一名,三百零一
第三百零二名,三百零二
第三百零三名,三百零三
第三百零四名,三百零四
第三百零五名,三百零五
第三百零六名,三百零六
第三百零七名,三百零七
第三百零八名,三百零八
第三百零九名,三百零九
第三百一十名,三百一十
第三百一十一名,三百一十一
第三百一十二名,三百一十二
第三百一十三名,三百一十三
第三百一十四名,三百一十四
河南府鄉試第十名,十
河南府鄉試第三十四名,三十四
廣東府鄉試第七十三名,七十三
湖廣鄉試第八十六名,八十六
廣西鄉試第八名,八
雲南鄉試第二十一名,二十一
第三百一十五名,三百一十五
第三百一十七名,三百一十七
應天府鄉試第一百四十七名,一百四十七
順天府鄉試第一百四十七名,一百四十七
貴州鄉試第二十二名,二十二
雲南鄉試第四十名,四十
應天府鄉試第一百三十六名,一百三十六
應天府鄉試第一百三十八名,一百三十八
廣西鄉試第四十一名,四十一
浙江鄉試五十六名,五十六
順天府鄉試第一百五十名,一百五十
貴州鄉試第二十四名,二十四
貴州鄉試第七名,七
雲南鄉試第三十八名,三十八
順天府鄉試第一百三十七名,一百三十七
江西鄉試第二十三名　,二十三
江西鄉試第五十一名　,五十一
應天府鄉試第一百二十六名　,一百二十六
江西鄉試第五十三名　,五十三
應天府鄉試第一百四十三名,一百四十三
貴州鄉試第九名,九
貴州鄉試第十三名,十三
貴州鄉試第十一名,十一
第 一百八十五名,一百八十五
庚午鄉試三十名,三十
二百七十八名,二百七十八
己卯鄉試四十八名,四十八
一百九十三名,一百九十三
乙卯鄉試六名,六
三十三名,三十三
庚午應天鄉試三十六名,三十六
一百八十五名,一百八十五
乙卯鄉試一名,一
二十四名,二十四
癸酉應天鄉試一百二十六名,一百二十六
三十八名,三十八
癸酉鄉試二十一名,二十一
十四名,十四
己卯鄉試十三名,十三
二百七十四名,二百七十四
己卯鄉試一名,一
二十三名,二十三
丙子鄉試三名,三
一百七名,一百七
辛酉鄉試二名,二
三百四十七名,三百四十七
庚午鄉試三十二名,三十二
二百六十一名,二百六十一
三百九名,三百九
丙子鄉試四十七名,四十七
三百八名,三百八
壬午鄉試三十二名,三十二
三百五十名,三百五十
丙子鄉試六十九名,六十九
二百七十五名,二百七十五
庚午順天鄉試八十二名,八十二
六名,六
癸酉鄉試六十八名,六十八
二百九十六名,二百九十六
丙子鄉試四十三名,四十三
八十八名,八十八
丁卯鄉試二十二名,二十二
二百六十四名,二百六十四
乙酉鄉試二十名,二十
二百九十九名,二百九十九
乙酉順天鄉試六十七名,六十七
一百九十九名,一百九十九
癸酉鄉試一百一名,一百一
二百八十八名,二百八十八
丁卯鄉試五十六名,五十六
三百十五名,三百十五
己巳鄉試四十一名,四十一
二百三十八名,二百三十八
庚午鄉試二十名,二十
三百名,三百
甲子鄉試十一名,十一
一百四十六名,一百四十六
癸酉鄉試四十二名,四十二
二百七十七名,二百七十七
庚午鄉試四十一名,四十一
二百七十九名,二百七十九
乙酉鄉試二十五名,二十五
一百七十二名,一百七十二
乙酉鄉試八十八名,八十八
三十五名,三十五
丁卯鄉試十八名,十八
八十九名,八十九
己卯鄉試十六名,十六
三百三十七名,三百三十七
己卯鄉試三十三名,三十三
二百八十名,二百八十
丁卯鄉試七名,七
一百八十二名,一百八十二
丁卯鄉試六名,六
三十七名,三十七
乙酉鄉試六十四名,六十四
一百五十六名,一百五十六
己卯鄉試六十二名,六十二
四十九名,四十九
癸酉鄉試七十四名,七十四
三百四十三名,三百四十三
丙子鄉試二十六名,二十六
六十九名,六十九
己卯鄉試二十三名,二十三
二十一名,二十一
壬午鄉試四十九名,四十九
八十二名,八十二
庚午鄉試四十三名,四十三
二百二十九名,二百二十九
丁卯鄉試十七名,十七
一百八十四名,一百八十四
癸酉鄉試八十二名,八十二
二百四名,二百四
癸酉鄉試六十一名,六十一
三百十三名,三百十三
己卯鄉試八名,八
三百十名,三百十
丁卯鄉試三十二名,三十二
二百五十名,二百五十
丙子鄉試十八名,十八
五十四名,五十四
丁卯鄉試三十七名,三十七
二百二十八名,二百二十八
壬午鄉試五十六名,五十六
一百五名,一百五
壬午鄉試八十八名,八十八
四十八名,四十八
癸酉鄉試三十五名,三十五
四十二名,四十二
己卯鄉試一百十七名,一百十七
一百六十三名,一百六十三
丁卯鄉試九名,九
三百二十一名,三百二十一
癸酉鄉試三十三名,三十三
五十五名,五十五
甲子鄉試三十八名,三十八
八十七名,八十七
庚午鄉試七十名,七十
三百三十四名,三百三十四
己卯鄉試二名,二
三十四名,三十四
庚午鄉試五十三名,五十三
三百十六名,三百十六
庚午鄉試十四名,十四
八十三名,八十三
丙子鄉試十九名,十九
一百七十三名,一百七十三
壬午鄉試二十四名,二十四
一百六十一名,一百六十一
丙子鄉試十七名,十七
六十三名,六十三
乙酉鄉試三十八名,三十八
七十三名,七十三
一百八十三名,一百八十三
乙酉鄉試七十六名,七十六
二百八十九名,二百八十九
癸酉鄉試八十九名,八十九
七十九名,七十九
壬午鄉試二十七名,二十七
二百名,二百
丁卯鄉試四十四名,四十四
一百十六名,一百十六
庚午鄉試一名,一
二百十名,二百十
己卯鄉試三十四名,三十四
一百三十一名,一百三十一
乙酉鄉試三十四名,三十四
一百七十四名,一百七十四
丙子鄉試五十三名,五十三
三百十九名,三百十九
壬午鄉試八十三名,八十三
一百九十二名,一百九十二
鄉試六十五名,六十五
一百七十一名,一百七十一
丁卯鄉試八十九名,八十九
四十七名,四十七
壬午鄉試五十一名,五十一
七十名,七十
乙酉鄉試二十六名,二十六
三百二十名,三百二十
丙子鄉試十一名,十一
三百二十三名,三百二十三
癸酉鄉試二十二名,二十二
四名,四
庚午鄉試八十四名,八十四
一百四十三名,一百四十三
庚午鄉試八名,八
一百七十七名,一百七十七
癸未會試二百五名,二百五
癸酉鄉試七十一名,七十一
六十八名,六十八
乙酉鄉試六十八名會試,
二百四十一名,二百四十一
乙酉鄉試九名,九
六十六名,六十六
乙酉鄉試十名,十
二百八十七名,二百八十七
己卯鄉試五十名,五十
癸未會試三百三十八名,三百三十八
丙子鄉試八十八名,八十八
四十一名,四十一
己卯鄉試三十七名,三十七
三百三十名,三百三十
庚午順天鄉試一百三十一名,一百三十一
二百三十四名,二百三十四
己卯鄉試一百十四名,一百十四
二百九十名,二百九十
癸酉鄉試二十三名,二十三
一百一十六名,一百一十六
乙酉鄉試六名,六
二百三十九名,二百三十九
乙酉鄉試一名,一
二百三十七名,二百三十七
己卯鄉試十九名,十九
二百八十四名,二百八十四
庚午鄉試七十八名,七十八
二百四十五名,二百四十五
壬午鄉試三十五名,三十五
二百十二名,二百十二
壬午鄉試十六名,十六
三百十四名,三百十四
二百三十名,二百三十
丙子鄉試六十一名,六十一
二百九十三名,二百九十三
乙酉鄉試二十三名,二十三
二百四十七名,二百四十七
癸酉鄉試八十四名,八十四
二百六十五名,二百六十五
壬午鄉試六十名,六十
二百九名,二百九
癸酉鄉試六十二名,六十二
二百八十六名,二百八十六
癸酉鄉試十名,十
五十六名,五十六
壬午鄉試七十一名,七十一
二百三十二名,二百三十二
丙子鄉試二名,二
十三名,十三
己卯鄉試四十七名,四十七
一百八十七名,一百八十七
壬午鄉試六十六名,六十六
癸未會試三百十一名,三百十一
癸酉順天鄉試三十三名,三十三
五十名,五十
庚午鄉試五十名,五十
二百五十七名,二百五十七
壬午鄉試六十九名,六十九
三百六名,三百六
壬午鄉試六十七名,六十七
二百四十三名,二百四十三
丙子鄉試二十三名,二十三
一百六十四名,一百六十四
丙子鄉試四十名,四十
九十六名,九十六
壬午應天鄉試一百十三名,一百十三
二百七十一名,二百七十一
乙酉鄉試六十六名,六十六
一百六十七名,一百六十七
乙酉鄉試三名,三
三百四十六名,三百四十六
壬午鄉試五十名,五十
九十九名,九十九
乙酉順天鄉試四十七名,四十七
一百四十九名,一百四十九
丙子鄉試六十名,六十
三百四十名,三百四十
乙酉鄉試三十六名,三十六
六十名,六十
丙子鄉試八十九名,八十九
三百一名,三百一
乙酉鄉試二十九名,二十九
二百六十七名,二百六十七
乙酉鄉試一百十三名,一百十三
七十五名,七十五
壬午鄉試二十一名,二十一
二百二十七名,二百二十七
丙子鄉試三十名,三十
一百四十名,一百四十
二百七十名,二百七十
丙子鄉試八十三名,八十三
三百四十一名,三百四十一
癸酉鄉試七十七名,七十七
一百二十二名,一百二十二
七十八名,七十八
丙子鄉試十五名,十五
癸未會試二百十一名,二百十一
壬午鄉試四十四名,四十四
一百二十名,一百二十
壬午鄉試十三名,十三
一百五十七名,一百五十七
丙子鄉試六十五名,六十五
二百六十八名,二百六十八
丙子鄉試三十六名,三十六
一百三十四名,一百三十四
己卯鄉試六十九名,六十九
六十五名,六十五
己卯鄉試四十五名,四十五
二百十五名,二百十五
癸酉鄉試十五名,十五
四十五名,四十五
己卯鄉試六名,六
一百十八名,一百十八
二百七名,二百七
癸酉鄉試二十七名,二十七
七十七名,七十七
己卯鄉試三十二名,三十二
二百四十名,二百四十
乙酉鄉試八十一名,八十一
三十六名,三十六
壬午鄉試二十六名,二十六
二百一名,二百一
乙酉鄉試六十三名,六十三
二百六十九名,二百六十九
丙子鄉試九十七名,九十七
二百五十八名,二百五十八
乙酉鄉試十三名,十三
五十二名,五十二
己卯鄉試八十八名,八十八
二百五十九名,二百五十九
庚午鄉試二十四名,二十四
六十一名,六十一
己卯鄉試七十八名,七十八
癸未會試三百三十六名,三百三十六
壬午鄉試六十四名,六十四
二百二十三名,二百二十三
壬午鄉試十四名,十四
七名,七
丙子鄉試十名,十
二百四十二名,二百四十二
己卯鄉試九名,九
三百四十四名,三百四十四
二百八十五名,二百八十五
己卯鄉試二十九名,二十九
二百三十六名,二百三十六
丙子鄉試三十七名,三十七
八名,八
丙子鄉試一名,一
五十九名,五十九
己卯鄉試六十四名,六十四
一百八十八名,一百八十八
己卯鄉試十五名,十五
七十四名,七十四
二百十六名,二百十六
癸酉鄉試八十七名,八十七
九十二名,九十二
五十七名,五十七
壬午鄉試五十四名,五十四
二百六名,二百六
癸酉鄉試八十八名,八十八
二百五名,二百五
癸酉鄉試一百二十四名,一百二十四
一百六十五名,一百六十五
丙子鄉試六十八名,六十八
三百十八名,三百十八
己卯鄉試三十名,三十
一百三十五名,一百三十五
癸酉鄉試六十五名,六十五
二百六十二名,二百六十二
癸未會試一百二十一名,一百二十一
己卯鄉試七十名,七十
三十一名,三十一
庚午鄉試四十七名,四十七
二百四十六名,二百四十六
壬午鄉試五十九名,五十九
二百三名,二百三
二百十七名,二百十七
壬午年鄉試四名,四
一百四十七名,一百四十七
乙酉鄉試六十一名,六十一
一百五十三名,一百五十三
庚午鄉試五十五名,五十五
三百四十九名,三百四十九
壬午鄉試五名,五
三百七名,三百七
乙酉鄉試四十名,四十
二百五十四名,二百五十四
己卯鄉試六十七名,六十七
二百六十名,二百六十
乙酉鄉試六十七名,六十七
己卯鄉試四十三名,四十三
十六名,十六
八十六名,八十六
一百八十一名,一百八十一
丙子鄉試三十五名,三十五
十五名,十五
丙子鄉試七十名,七十
一百二十五名,一百二十五
十八名,十八
丙子鄉試四十八名,四十八
七十二名,七十二
一百三十九名,一百三十九
九十三名,九十三
壬午鄉試二名,二
一百九十七名,一百九十七
丙子鄉試一百二十五名,一百二十五
癸未會試十七名,十七
壬午鄉試八十四名,八十四
一百七十六名,一百七十六
丙子鄉試二十一名,二十一
一百二十三名,一百二十三
乙酉鄉試二十八名,二十八
二百二名,二百二
八十名,八十
壬午鄉試五十二名,五十二
二百二十二名,二百二十二
己卯鄉試三十一名,三十一
癸未會試三百四十八名,三百四十八
丙子鄉試七十七名,七十七
一百九十名,一百九十
乙酉鄉試五名,五
十名,十
乙酉鄉試一百二名,一百二
二十二名,二十二
十二名,十二
己卯鄉試七名,七
二百四十四名,二百四十四
順天丙子鄉試一百二十五名,一百二十五
一百十五名,一百十五
壬午鄉試三名,三
六十七名,六十七
二百六十六名,二百六十六
九十七名,九十七
一百八名,一百八
二百五十五名,二百五十五
壬午鄉試六名,六
九名,九
乙酉鄉試五十四名,五十四
三百三十二名,三百三十二
壬午鄉試九十八名,九十八
三百三十五名,三百三十五
二百九十一名,二百九十一
三百十七名,三百十七
壬午鄉試十二名,十二
一百八十名,一百八十
壬午鄉試十名,十
一百三名,一百三
壬午鄉試十八名,十八
一百三十八名,一百三十八
己卯鄉試六十名,六十
一百五十一名,一百五十一
三百三名,三百三
乙酉鄉試八名,八
二百四十八名,二百四十八
丙子鄉試十四名,十四
二百九十二名,二百九十二
壬午鄉試四十五名,四十五
一百六十二名,一百六十二
壬午鄉試四十一名,四十一
二百二十名,二百二十
壬午鄉試三十八名,三十八
二百五十二名,二百五十二
乙酉鄉試三十九名,三十九
二百十九名,二百十九
三十九名,三十九
丙子鄉試三十八名,三十八
三百四名,三百四
三百二十六名,三百二十六
己卯鄉試四十九名,四十九
二百十四名,二百十四
壬午鄉試二十八名,二十八
七十一名,七十一
一百二十七名,一百二十七
二十六名,二十六
己卯鄉試三十九名,三十九
三十名,三十
一百二十九名,一百二十九
乙酉鄉試七十名,七十
七十六名,七十六
一百四名,一百四
九十八名,九十八
癸未會試二百八十二名,二百八十二
己卯鄉試九十五名,九十五
癸未會試三十八名,三十八
二十五名,二十五
己卯鄉試十七名,十七
二百九十七名,二百九十七
乙酉鄉試十二名,十二
二百三十五名,二百三十五
乙酉鄉試四十六名,四十六
一百九十五名,一百九十五
乙酉鄉試十一名,十一
一百九十四名,一百九十四
壬午鄉試八十名,八十
二百六十三名,二百六十三
壬午鄉試九名,九
一百七十五名,一百七十五
壬午鄉試六十八名,六十八
二十七名,二十七
己卯鄉試七十六名,七十六
六十二名,六十二
丙子鄉試十二名,十二
癸未會試二百名,二百
一名,一
三百四十八名,三百四十八
乙酉鄉試十九名,十九
一百四十八名,一百四十八
一百四十二名,一百四十二
癸酉鄉試十一名,十一
十九名,十九
丙子鄉試一百十七名,一百十七
一百七十八名,一百七十八
一百十七名,一百十七
壬午鄉試七十九名,七十九
十一名,十一
九十名,九十
二百三十一名,二百三十一
二百七十三名,二百七十三
乙酉鄉試五十八名,五十八
二百五十六名,二百五十六
乙酉鄉試五十九名,五十九
一百十三名,一百十三
三百二十九名,三百二十九
己卯鄉試五十四名,五十四
二百十一名,二百十一
己卯鄉試十一名,十一
九十四名,九十四
丙子鄉試六十三名,六十三
二百九十五名,二百九十五
乙酉鄉試四名,四
一百三十三名,一百三十三
乙酉鄉試十五名,十五
一百五十五名,一百五十五
一百三十名,一百三十
三百二十七名,三百二十七
二百二十六名,二百二十六
己卯順天鄉試五名,五
二百十八名,二百十八
丙子鄉試五名,五
二百八十三名,二百八十三
壬午鄉試一百四名,一百四
八十一名,八十一
三十二名,三十二
壬午鄉試三十七名,三十七
二百二十四名,二百二十四
一百九十六名,一百九十六
壬午鄉試十九名,十九
六十四名,六十四
乙酉鄉試七十三名,七十三
一百名,一百
一百二十四名,一百二十四
己卯鄉試七十七名,七十七
一百五十二名,一百五十二
壬午鄉試二十二名,二十二
四十三名,四十三
三百二十二名,三百二十二
乙酉鄉試三十名,三十
八十五名,八十五
壬午鄉試四名,四
癸未會試八十八名,八十八
二百八十一名,二百八十一
己卯鄉試四十一名,四十一
二百四十九名,二百四十九
二百七十二名,二百七十二
乙酉鄉試一百十名,一百十
二百二十一名,二百二十一
乙酉鄉試十八名,十八
三百二名,三百二
癸未會試五十五名,五十五
己卯鄉試二十名,二十
一百六名,一百六
一百五十四名,一百五十四
乙酉鄉試十四名,十四
五十一名,五十一
一百十名,一百十
丙子鄉試七十三名,七十三
三百二十五名,三百二十五
二百八名,二百八
己卯鄉試七十九名,七十九
三百十一名,三百十一
一百七十九名,一百七十九
乙酉鄉試七十五名,七十五
二百五十三名,二百五十三
二百七十六名,二百七十六
乙酉鄉試五十七名,五十七
九十一名,九十一
一百十四名,一百十四
癸酉鄉試四十四名,四十四
癸未會試三百三十七名,三百三十七
乙酉鄉試七十一名,七十一
一百一名,一百一
二十八名,二十八
