rank_unique,rank_unique_cleaned
第三百二十名,三百二十
順天府鄉試第十三名,十三
第二百七十五名,二百七十五
江西鄉試第一百三十六名,一百三十六
福建鄉試第五十二名,五十二
第二百六十四名,二百六十四
順天府鄉試第一百十八名,一百十八
第二百八名,二百八
四川鄉試第七十名,七十
第三百四十三名,三百四十三
河南鄉試第九十七名,九十七
第二百八十四名,二百八十四
第二百七十一名,二百七十一
湖廣鄉試第一百三名,一百三
第二百三十名,二百三十
山西鄉試第三十七名,三十七
第三百九名,三百九
江西鄉試第九十七名,九十七
第三百十五名,三百十五
第二百六十八名,二百六十八
山東鄉試第三十九名,三十九
第二百四十名,二百四十
順天府鄉試第八十六名,八十六
第三百三名,三百三
第二百八十一名,二百八十一
應天府鄉試第一百四十六名,一百四十六
陝西鄉試第十四名,十四
廣東鄉試第八十五名,八十五
河南鄉試第二名,二
第二百六十一名,二百六十一
山西鄉試第五十八名,五十八
第三百二十四名,三百二十四
河南鄉試第九十四名,九十四
江西鄉試第十二名,十二
河南鄉試第九名,九
第三百二十八名,三百二十八
順天府鄉試第一百五十九名,一百五十九
廣東鄉試第十名,十
第二百四十一名,二百四十一
順天府鄉試第五十七名,五十七
第二百一十六名,二百一十六
江西鄉試第五十三名,五十三
應天府鄉試第一百四十二名,一百四十二
應天府鄉試第六十三名,六十三
第二百九十八名,二百九十八
山東鄉試第一名,一
第三百四十八名,三百四十八
陝西鄉試第八名,八
山東鄉試第九名,九
第二百三十五名,二百三十五
應天府鄉試第十八名,十八
第三百八十七名,三百八十七
第一百□□□名,
江西鄉試第一百□名,
順天府鄉試第八十名,八十
第二百六十五名,二百六十五
應天府鄉試第一百七十六名,一百七十六
第二百十名,二百十
河南鄉試第五名,五
第二百十四名,二百十四
福建鄉試第三名,三
第二百九十三名,二百九十三
第二百八十五名,二百八十五
河南鄉試第十七名,十七
四川鄉試第四十九名,四十九
順天府鄉試第七名,七
第二百十二名,二百十二
江西鄉試第一百三十八名,一百三十八
第二百四名,二百四
應天府鄉試第二十一名,二十一
應天府鄉試第一百一名,一百一
第二百十七名,二百十七
廣東鄉試第二十二名,二十二
第二百四十九名,二百四十九
應天府鄉試第一百九名,一百九
第三百二十二名,三百二十二
第三百二十三名,三百二十三
山東鄉試第二十六名,二十六
江西鄉試第一百十名,一百十
第二百四十五名,二百四十五
第二百五十名,二百五十
第三百三十五名,三百三十五
順天府鄉試第二百三十四名,二百三十四
第二百二十一名,二百二十一
陝西鄉試第二十八名,二十八
福建鄉試第四十九名,四十九
浙江鄉試第三名,三
第二百七十四名,二百七十四
順天府鄉試第六十九名,六十九
順天府鄉試第二十一名,二十一
山西鄉試第九名,九
第二百一名,二百一
應天府鄉試第九十五名,九十五
第三百名,三百
第二百八十二名,二百八十二
廣東鄉試第七十名,七十
第二百六名,二百六
福建鄉試第九十八名,九十八
第二百三十三名,二百三十三
四川鄉試第三十二名,三十二
第三百五名,三百五
福建鄉試第四十二名,四十二
第三百二十一名,三百二十一
廣東鄉試第二十三名,二十三
浙江鄉試第一百一名,一百一
應天府鄉試第一百八十七名,一百八十七
江西鄉試第三十三名,三十三
第二百二十四名,二百二十四
山東鄉試第八名,八
順天府鄉試第四十名,四十
第二百六十六名,二百六十六
浙江鄉試第五十名,五十
江西鄉試第八十七名,八十七
第二百三十八名,二百三十八
江西鄉試第九十八名,九十八
第三百三十二名,三百三十二
順天府鄉試第一百九十五名,一百九十五
第二百六十九名,二百六十九
浙江鄉試第七十七名,七十七
第二百二十二名,二百二十二
第三百十一名,三百十一
應天府鄉試第二名,二
順天府鄉試第一百名,一百
浙江鄉試第九十二名,九十二
第二百七十名,二百七十
